radius,latitude,longitude,technology
68.58,39.4269154,-0.3180261,802.11n
68.58,39.4266667,-0.3193135,802.11n
68.58,39.4265424,-0.3170712,802.11n
68.58,39.4258629,-0.315773,802.11n
68.58,39.4256142,-0.3147001,802.11n
68.58,39.4260535,-0.3130372,802.11n
68.58,39.4265507,-0.3143997,802.11n
68.58,39.4269651,-0.3157086,802.11n
68.58,39.4278684,-0.3149362,802.11n
68.58,39.4274043,-0.3137023,802.11n
68.58,39.42699,-0.3125865,802.11n
68.58,39.4278353,-0.3119214,802.11n
68.58,39.4283242,-0.3130801,802.11n
68.58,39.4288711,-0.3144426,802.11n
68.58,39.4320268,-0.3297969,802.11n
68.58,39.4332035,-0.330548,802.11n
68.58,39.432756,-0.3290674,802.11n
68.58,39.4322754,-0.3311059,802.11n
27.43,39.4346396,-0.3304118,802.11ac
27.43,39.4348011,-0.3308785,802.11ac
27.43,39.4342335,-0.3306479,802.11ac
27.43,39.4338505,-0.3308624,802.11ac
27.43,39.4332705,-0.3296715,802.11ac
27.43,39.4326481,-0.3301121,802.11ac
27.43,39.4337005,-0.3279341,802.11ac
27.43,39.4336591,-0.3274728,802.11ac
27.43,39.4336177,-0.3269256,802.11ac
27.43,39.4332033,-0.3276981,802.11ac
27.43,39.4328884,-0.3280629,802.11ac
27.43,39.4332365,-0.3282667,802.11ac
27.43,39.4328454,-0.3249851,802.11ac
27.43,39.4325636,-0.3246632,802.11ac
27.43,39.4321493,-0.324749,802.11ac
27.43,39.4320498,-0.3252855,802.11ac
27.43,39.432431,-0.3249851,802.11ac
27.43,39.4315858,-0.3216806,802.11ac
27.43,39.4315692,-0.3211227,802.11ac
27.43,39.4313537,-0.3205004,802.11ac
27.43,39.4310886,-0.3197065,802.11ac
27.43,39.4312709,-0.3201571,802.11ac
27.43,39.431072,-0.3212943,802.11ac
27.43,39.4312212,-0.3218737,802.11ac
27.43,39.4289066,-0.3229326,802.11ac
27.43,39.4289066,-0.3224391,802.11ac
27.43,39.4294701,-0.3222674,802.11ac
27.43,39.4296359,-0.3216881,802.11ac
27.43,39.4299176,-0.322203,802.11ac
27.43,39.4301662,-0.3216451,802.11ac
27.43,39.4306469,-0.3213877,802.11ac
27.43,39.430332,-0.3220528,802.11ac
27.43,39.4301828,-0.3225035,802.11ac
27.43,39.4308292,-0.321731,802.11ac
27.43,39.4285917,-0.3193063,802.11ac
27.43,39.4283099,-0.31892,802.11ac
27.43,39.4297187,-0.3188771,802.11ac
27.43,39.4296027,-0.3184909,802.11ac
27.43,39.4310004,-0.3189476,802.11ac
27.43,39.4308015,-0.3184648,802.11ac
27.43,39.4305861,-0.3181644,802.11ac
27.43,39.4301635,-0.316759,802.11ac
27.43,39.4297491,-0.3154071,802.11ac
27.43,39.4295751,-0.3149565,802.11ac
27.43,39.4292933,-0.3153964,802.11ac
27.43,39.4289287,-0.3152998,802.11ac
27.43,39.4284354,-0.3153693,802.11ac
27.43,39.4281039,-0.315777,802.11ac
27.43,39.4278553,-0.3160667,802.11ac
27.43,39.4275901,-0.3159057,802.11ac
27.43,39.4266768,-0.313536,802.11ac
27.43,39.4276879,-0.312785,802.11ac
27.43,39.4281188,-0.3140295,802.11ac
27.43,39.4258481,-0.3138579,802.11ac
27.43,39.4262554,-0.3120802,802.11ac
27.43,39.4266034,-0.3116994,802.11ac
27.43,39.4270513,-0.3114794,802.11ac
27.43,39.427445,-0.3111683,802.11ac
27.43,39.4280002,-0.3109752,802.11ac
27.43,39.4257457,-0.3121711,802.11ac
27.43,39.4253438,-0.3124286,802.11ac
